condition,well,field,n_droplets,mean_area_um2,median_area_um2,total_area_um2,mean_diameter_um,median_diameter_um,mean_circularity
CIDEC_KD,R04C10,9,360,1101.8772584444444,389.073152,396675.81304,29.215901438616786,22.257208336203234,0.6200396834858177
CIDEC_KD,R05C10,1,1072,932.991504686567,347.59108799999996,1000166.8930239999,26.894924038858935,21.037269752492122,0.6664509129741487
CIDEC_KD,R05C10,2,1138,868.3894645623901,316.121936,988227.210672,25.784532574099533,20.06237647621633,0.67380219464037
CIDEC_KD,R05C10,3,1189,799.9634563633305,308.969856,951156.5496159999,25.175661451827803,19.834128132850427,0.6852544189869167
CIDEC_KD,R05C10,4,927,942.8185097044228,337.578176,873992.758496,26.141078125293838,20.73204966043557,0.6752691917449999
CIDEC_KD,R05C10,5,1082,936.615773426987,326.134848,1013418.2668479999,26.489216205009246,20.377629533137352,0.6760953925154939
CIDEC_KD,R05C10,6,1157,851.1333731235954,336.14776,984761.3127039999,26.02198861745797,20.68807919808276,0.6674183463604774
CIDEC_KD,R05C10,7,1128,923.7114215886523,366.186496,1041946.4835519999,26.87029041046153,21.592663741539727,0.6665924461644508
CIDEC_KD,R05C10,8,1230,787.4788961951218,331.85651199999995,968599.0423199999,25.456156440175732,20.555555737564468,0.675631459041096
CIDEC_KD,R05C10,9,947,1015.1981061372755,366.186496,961392.606512,27.902843402137837,21.592663741539727,0.6526905229537215
CIDEC_KD,R06C10,1,1079,949.3985179759036,328.99568,1024401.000896,26.21026175792275,20.466809957172984,0.6750050206403334
CIDEC_KD,R06C10,2,1197,804.5570174636591,336.14776,963054.749904,25.546696691637177,20.68807919808276,0.6762031330232184
CIDEC_KD,R06C10,3,1042,752.6047300115163,310.400272,784214.1286719999,24.56376254947854,19.879987449869045,0.6972364252343067
CIDEC_KD,R06C10,4,1236,700.5416068220064,345.445464,865869.426032,25.129121772238108,20.972228159461945,0.6742083143978413
CIDEC_KD,R06C10,5,1101,869.7513918692098,347.59108799999996,957596.2824479999,26.14495432263021,21.037269752492122,0.6626543616035058
CIDEC_KD,R06C10,6,1265,739.649456,310.400272,935656.56184,24.75950044945503,19.879987449869045,0.6864727147440784
CIDEC_KD,R06C10,7,1056,908.7869016515151,350.45192,959678.9681439999,26.67563594762175,21.12366547435278,0.6607750156267648
CIDEC_KD,R06C10,8,1233,782.6881358248174,351.88233599999995,965054.4714719999,25.994046454910723,21.16673109596722,0.6604367953581681
CIDEC_KD,R06C10,9,1082,875.7569928724583,325.41963999999996,947569.066288,25.956668585972633,20.355261087348243,0.6824231088172996
CIDEC_KD,R07C10,1,751,973.0352461251663,318.98276799999996,730749.4698399999,26.846784471384197,20.1529519998109,0.6680946560346778
CIDEC_KD,R07C10,2,1153,849.617479854293,357.604,979608.9542719999,26.52061454866871,21.338124429187143,0.6618135242504533
CIDEC_KD,R07C10,3,1227,780.14678799022,326.134848,957240.108864,25.24229945237187,20.377629533137352,0.6779315093468248
CIDEC_KD,R07C10,4,1079,938.2932400963855,354.74316799999997,1012418.406064,27.202973646414947,21.252600540221646,0.6542631252130232
